9.00,2005.00,1974.00,1,1,233,0.00,3.00,22.00,45.00,5.00,0.00,11.00,20.00,49.00,0.00,0.00,1.00,19.00,58.00
9.00,2005.00,1974.00,1,2,469,0.00,3.00,80.00,89.00,19.00,0.00,24.00,37.00,79.00,0.00,1.00,1.00,28.00,108.00
9.00,2006.00,1974.00,1,1,200,0.00,1.00,30.00,47.00,3.00,2.00,11.00,17.00,31.00,0.00,0.00,0.00,16.00,42.00
9.00,2006.00,1974.00,1,2,478,0.00,2.00,88.00,91.00,12.00,0.00,30.00,43.00,86.00,0.00,0.00,0.00,29.00,97.00
9.00,2007.00,1974.00,1,1,166,0.00,0.00,16.00,29.00,1.00,0.00,8.00,12.00,30.00,0.00,1.00,0.00,17.00,52.00
9.00,2007.00,1974.00,1,2,530,0.00,3.00,68.00,86.00,15.00,4.00,31.00,44.00,121.00,0.00,0.00,1.00,36.00,121.00
9.00,2008.00,1974.00,1,1,200,0.00,0.00,16.00,32.00,6.00,2.00,10.00,23.00,31.00,0.00,0.00,1.00,16.00,63.00
9.00,2008.00,1974.00,1,2,482,0.00,1.00,55.00,77.00,14.00,2.00,26.00,43.00,106.00,0.00,0.00,2.00,35.00,121.00
9.00,2009.00,1974.00,1,1,200,0.00,1.00,22.00,40.00,3.00,2.00,7.00,12.00,35.00,0.00,0.00,1.00,22.00,55.00
9.00,2009.00,1974.00,1,2,459,0.00,0.00,65.00,73.00,12.00,1.00,19.00,41.00,104.00,0.00,0.00,2.00,43.00,99.00
9.00,2010.00,1974.00,1,1,206,0.00,1.00,18.00,51.00,4.00,0.00,8.00,11.00,41.00,0.00,0.00,1.00,18.00,53.00
9.00,2010.00,1974.00,1,2,458,0.00,1.00,66.00,81.00,16.00,1.00,29.00,29.00,96.00,0.00,0.00,3.00,26.00,110.00
10.00,2007.00,1984.00,1,2,129,0.00,1.00,4.00,15.00,1.00,0.00,8.00,8.00,31.00,0.00,0.00,2.00,17.00,42.00
10.00,2009.00,1984.00,1,2,9,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,3.00
10.00,2010.00,1984.00,1,2,128,0.00,0.00,3.00,35.00,0.00,1.00,6.00,15.00,28.00,0.00,0.00,0.00,5.00,35.00
11.00,2007.00,1984.00,2,1,46,0.00,2.00,2.00,6.00,1.00,1.00,4.00,1.00,14.00,0.00,0.00,0.00,2.00,13.00
11.00,2009.00,1984.00,2,1,2,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.00,2010.00,1984.00,2,1,71,0.00,0.00,1.00,12.00,1.00,0.00,5.00,8.00,16.00,0.00,0.00,0.00,4.00,24.00
20.00,2004.00,1980.00,1,1,11,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,8.00
20.00,2004.00,1980.00,1,2,67,0.00,0.00,5.00,5.00,4.00,1.00,2.00,6.00,17.00,0.00,0.00,0.00,8.00,19.00
20.00,2005.00,1980.00,1,1,98,0.00,1.00,13.00,18.00,1.00,1.00,5.00,5.00,19.00,0.00,0.00,0.00,5.00,30.00
20.00,2005.00,1980.00,1,2,438,0.00,2.00,36.00,39.00,7.00,4.00,18.00,39.00,134.00,0.00,0.00,4.00,32.00,123.00
20.00,2006.00,1980.00,1,1,37,0.00,0.00,3.00,7.00,1.00,0.00,0.00,1.00,13.00,0.00,0.00,0.00,3.00,9.00
20.00,2006.00,1980.00,1,2,235,0.00,1.00,19.00,34.00,2.00,1.00,14.00,19.00,80.00,0.00,0.00,0.00,14.00,51.00
20.00,2007.00,1980.00,1,1,7,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,2.00
20.00,2007.00,1980.00,1,2,59,0.00,0.00,5.00,14.00,2.00,0.00,3.00,7.00,14.00,0.00,0.00,0.00,2.00,12.00
20.00,2009.00,1980.00,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
20.00,2009.00,1980.00,1,2,20,0.00,0.00,1.00,1.00,0.00,0.00,0.00,3.00,7.00,0.00,0.00,0.00,1.00,7.00
24.00,2000.00,1971.00,2,1,105,0.00,0.00,13.00,15.00,3.00,1.00,5.00,16.00,31.00,0.00,0.00,0.00,0.00,21.00
24.00,2000.00,1971.00,2,2,308,1.00,7.00,39.00,53.00,12.00,0.00,14.00,50.00,64.00,0.00,0.00,0.00,0.00,68.00
24.00,2001.00,1971.00,2,1,85,0.00,1.00,12.00,17.00,3.00,2.00,2.00,17.00,12.00,0.00,0.00,0.00,0.00,19.00
24.00,2001.00,1971.00,2,2,253,0.00,4.00,24.00,56.00,3.00,0.00,12.00,43.00,58.00,0.00,0.00,0.00,0.00,53.00
24.00,2002.00,1971.00,2,1,74,0.00,0.00,7.00,14.00,1.00,0.00,3.00,10.00,16.00,0.00,0.00,0.00,0.00,23.00
24.00,2002.00,1971.00,2,2,96,0.00,0.00,8.00,26.00,3.00,0.00,3.00,15.00,22.00,0.00,0.00,0.00,0.00,19.00
25.00,2004.00,1979.00,2,1,18,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,9.00
25.00,2004.00,1979.00,2,2,29,0.00,0.00,2.00,7.00,3.00,1.00,1.00,2.00,8.00,0.00,0.00,0.00,2.00,3.00
25.00,2005.00,1979.00,2,1,26,0.00,0.00,1.00,5.00,0.00,0.00,1.00,2.00,7.00,0.00,0.00,0.00,3.00,7.00
25.00,2005.00,1979.00,2,2,54,0.00,0.00,2.00,14.00,0.00,0.00,2.00,5.00,13.00,0.00,0.00,0.00,6.00,12.00
25.00,2006.00,1979.00,2,1,44,0.00,0.00,3.00,11.00,0.00,0.00,2.00,2.00,12.00,0.00,0.00,0.00,4.00,10.00
25.00,2006.00,1979.00,2,2,58,0.00,0.00,5.00,15.00,0.00,1.00,6.00,3.00,16.00,0.00,0.00,0.00,3.00,9.00
25.00,2008.00,1979.00,2,1,8,0.00,0.00,2.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00
25.00,2008.00,1979.00,2,2,6,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,1.00
28.00,2000.00,1971.00,2,1,35,0.00,0.00,3.00,5.00,3.00,0.00,1.00,5.00,10.00,0.00,0.00,0.00,0.00,8.00
28.00,2000.00,1971.00,2,2,13,0.00,0.00,0.00,2.00,1.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,4.00
28.00,2001.00,1971.00,2,1,12,0.00,0.00,1.00,5.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00
28.00,2001.00,1971.00,2,2,29,0.00,0.00,2.00,8.00,0.00,0.00,0.00,9.00,4.00,0.00,0.00,0.00,0.00,6.00
28.00,2002.00,1971.00,2,1,16,0.00,0.00,0.00,4.00,2.00,0.00,1.00,2.00,3.00,0.00,0.00,0.00,0.00,4.00
28.00,2002.00,1971.00,2,2,16,0.00,0.00,0.00,2.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,8.00
29.00,2001.00,1979.00,1,2,5,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
29.00,2010.00,1979.00,1,1,4,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
29.00,2010.00,1979.00,1,2,9,0.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
30.00,2000.00,1971.00,2,1,60,0.00,0.00,3.00,10.00,1.00,2.00,0.00,10.00,25.00,0.00,0.00,0.00,0.00,9.00
30.00,2000.00,1971.00,2,2,147,0.00,0.00,10.00,31.00,3.00,1.00,4.00,20.00,47.00,0.00,0.00,0.00,0.00,31.00
30.00,2004.00,1971.00,2,1,16,0.00,0.00,1.00,4.00,0.00,0.00,1.00,2.00,2.00,0.00,0.00,0.00,1.00,5.00
30.00,2004.00,1971.00,2,2,6,0.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
30.00,2005.00,1971.00,2,1,4,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00
30.00,2005.00,1971.00,2,2,15,0.00,1.00,1.00,4.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,1.00,0.00,3.00
30.00,2006.00,1971.00,2,1,23,0.00,0.00,0.00,2.00,0.00,1.00,1.00,1.00,7.00,0.00,0.00,0.00,1.00,10.00
30.00,2006.00,1971.00,2,2,12,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,5.00
31.00,2004.00,1977.00,2,1,7,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00
31.00,2004.00,1977.00,2,2,4,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
33.00,2000.00,1973.00,2,1,123,0.00,2.00,15.00,16.00,5.00,0.00,8.00,18.00,45.00,0.00,0.00,0.00,0.00,14.00
33.00,2000.00,1973.00,2,2,526,0.00,3.00,79.00,54.00,20.00,2.00,32.00,91.00,154.00,0.00,0.00,0.00,0.00,91.00
33.00,2001.00,1973.00,2,1,101,0.00,1.00,8.00,9.00,2.00,0.00,7.00,10.00,47.00,0.00,0.00,0.00,0.00,17.00
33.00,2001.00,1973.00,2,2,416,0.00,4.00,43.00,53.00,15.00,0.00,15.00,61.00,147.00,0.00,0.00,0.00,0.00,78.00
33.00,2002.00,1973.00,2,1,143,0.00,2.00,19.00,13.00,4.00,0.00,10.00,30.00,42.00,0.00,0.00,0.00,0.00,23.00
33.00,2002.00,1973.00,2,2,411,0.00,5.00,35.00,42.00,12.00,0.00,16.00,79.00,144.00,0.00,0.00,0.00,0.00,78.00
33.00,2003.00,1973.00,2,1,123,0.00,0.00,16.00,6.00,4.00,0.00,3.00,12.00,49.00,0.00,0.00,0.00,6.00,27.00
33.00,2003.00,1973.00,2,2,456,0.00,4.00,38.00,35.00,9.00,2.00,20.00,46.00,151.00,0.00,0.00,2.00,29.00,120.00
33.00,2004.00,1973.00,2,1,181,0.00,1.00,24.00,1.00,5.00,0.00,7.00,23.00,63.00,0.00,0.00,1.00,13.00,43.00
33.00,2004.00,1973.00,2,2,390,0.00,4.00,20.00,39.00,6.00,1.00,16.00,50.00,129.00,0.00,0.00,2.00,26.00,97.00
33.00,2005.00,1973.00,2,1,98,0.00,1.00,5.00,8.00,1.00,0.00,1.00,13.00,45.00,0.00,0.00,2.00,7.00,15.00
33.00,2005.00,1973.00,2,2,302,0.00,1.00,21.00,26.00,1.00,1.00,12.00,47.00,92.00,0.00,0.00,2.00,15.00,84.00
33.00,2006.00,1973.00,2,1,36,0.00,0.00,2.00,1.00,0.00,0.00,2.00,1.00,16.00,0.00,0.00,0.00,1.00,13.00
33.00,2006.00,1973.00,2,2,59,0.00,1.00,5.00,3.00,0.00,0.00,0.00,4.00,23.00,0.00,0.00,0.00,3.00,20.00
34.00,2006.00,1979.00,2,1,61,0.00,0.00,0.00,11.00,1.00,0.00,1.00,9.00,20.00,0.00,0.00,1.00,3.00,15.00
34.00,2006.00,1979.00,2,2,237,0.00,7.00,2.00,63.00,11.00,2.00,12.00,20.00,50.00,0.00,0.00,3.00,13.00,54.00
34.00,2007.00,1979.00,2,1,20,0.00,0.00,0.00,10.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,2.00,5.00
34.00,2007.00,1979.00,2,2,45,0.00,1.00,0.00,13.00,1.00,1.00,0.00,6.00,4.00,0.00,0.00,1.00,4.00,14.00
34.00,2008.00,1979.00,2,1,2,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
34.00,2008.00,1979.00,2,2,9,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,4.00
34.00,2009.00,1979.00,2,1,24,0.00,0.00,0.00,6.00,1.00,0.00,0.00,2.00,6.00,0.00,0.00,0.00,2.00,7.00
34.00,2009.00,1979.00,2,2,93,0.00,0.00,3.00,28.00,1.00,0.00,2.00,9.00,25.00,0.00,0.00,1.00,2.00,22.00
34.00,2010.00,1979.00,2,1,16,0.00,0.00,0.00,3.00,1.00,0.00,0.00,2.00,8.00,0.00,0.00,0.00,0.00,2.00
34.00,2010.00,1979.00,2,2,25,0.00,0.00,0.00,7.00,0.00,0.00,1.00,2.00,5.00,0.00,0.00,0.00,3.00,7.00
35.00,2000.00,1965.00,1,1,3,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
35.00,2000.00,1965.00,1,2,475,1.00,5.00,42.00,67.00,6.00,6.00,21.00,87.00,154.00,0.00,0.00,0.00,0.00,86.00
35.00,2001.00,1965.00,1,2,326,0.00,3.00,19.00,50.00,4.00,4.00,14.00,62.00,97.00,0.00,0.00,0.00,0.00,73.00
35.00,2002.00,1965.00,1,2,216,0.00,1.00,27.00,31.00,1.00,2.00,7.00,33.00,55.00,0.00,0.00,0.00,0.00,59.00
36.00,2000.00,1965.00,2,1,129,0.00,0.00,16.00,7.00,0.00,2.00,4.00,29.00,34.00,0.00,0.00,0.00,0.00,37.00
36.00,2001.00,1965.00,2,1,86,0.00,1.00,4.00,6.00,0.00,0.00,2.00,17.00,22.00,0.00,0.00,0.00,0.00,34.00
36.00,2002.00,1965.00,2,1,48,0.00,0.00,4.00,3.00,0.00,0.00,1.00,8.00,13.00,0.00,0.00,0.00,0.00,19.00
37.00,2009.00,1986.00,1,1,26,0.00,0.00,4.00,11.00,0.00,0.00,1.00,1.00,7.00,0.00,0.00,0.00,0.00,2.00
37.00,2009.00,1986.00,1,2,88,0.00,0.00,6.00,29.00,4.00,0.00,5.00,5.00,14.00,0.00,0.00,1.00,4.00,20.00
37.00,2010.00,1986.00,1,1,10,0.00,0.00,3.00,4.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
37.00,2010.00,1986.00,1,2,45,0.00,0.00,6.00,16.00,1.00,0.00,3.00,4.00,9.00,0.00,0.00,0.00,3.00,3.00
38.00,2000.00,1975.00,2,1,14,0.00,0.00,1.00,3.00,0.00,0.00,1.00,2.00,4.00,0.00,0.00,0.00,0.00,3.00
38.00,2000.00,1975.00,2,2,41,0.00,1.00,2.00,11.00,0.00,0.00,2.00,10.00,7.00,0.00,0.00,0.00,0.00,8.00
38.00,2001.00,1975.00,2,1,58,0.00,0.00,6.00,10.00,2.00,1.00,5.00,6.00,12.00,0.00,0.00,0.00,0.00,16.00
38.00,2001.00,1975.00,2,2,136,0.00,0.00,12.00,27.00,2.00,1.00,8.00,21.00,25.00,0.00,0.00,0.00,0.00,40.00
38.00,2002.00,1975.00,2,1,8,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00
38.00,2002.00,1975.00,2,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
